Genome	1545B_8_H3_S4_paired_1.fastq.gz TPM
MAG_155	23.607391
MAG_193	214.35728
MAG_249	777.57245
MAG_121	7433.045
280	6.3645353
MAG_199	11.288549
MAG_51	1616.7433
MAG_18	4.647414
2	278.79498
maxbin2.0181_sub	14687.256
MAG_284	17.301722
MAG_278	1440.7601
284_sub	191.69763
MAG_162	105.92001
44_sub	72.52349
102_sub	17.76997
MAG_53	295.464
MAG_229	1676.5568
MAG_289	24.024658
MAG_222_sub	25.302723
MAG_315	708.64404
4_sub	440.6727
MAG_128	17.263567
MAG_172	7.5428863
27	2.6391776
MAG_33	55386.914
58	5.844694
142_sub	38.03641
MAG_294	2057.6602
MAG_74	93.11455
145	12704.289
MAG_114	23.66573
MAG_130	17.283978
67	4921.508
MAG_37	38.284973
MAG_148	672.81
MAG_305	78.40934
MAG_313	2028.6589
maxbin2.0025_sub	15151.89
107_sub	1483.6141
MAG_200	794.8833
MAG_319	24709.748
158_sub	5860.342
MAG_13	24.347319
MAG_45	269.73618
76	2218.675
MAG_307	20.929235
MAG_236	244.04564
245_sub	17.64684
MAG_149_sub	97.899765
119_sub	11974.929
MAG_334	550.8769
MAG_119	44.321774
275_sub	437.14725
MAG_140	611.63696
288_sub	66.81993
112_sub	1619.2616
MAG_164	950.40216
MAG_326	61493.26
MAG_92	28.32822
MAG_144	13.644797
117_sub	1490.0907
MAG_292	689.261
MAG_217_sub	6385.319
52_sub	63.255333
MAG_306	35655.152
81_sub	11058.676
MAG_234	9.429903
MAG_332_sub	14.04083
163	49.184246
MAG_24	319.93588
243_sub	1.9890121
MAG_269_sub	472.14987
MAG_346	16205.384
MAG_214	1612.5342
287_sub	48421.426
MAG_216	824.4604
MAG_300_sub	163.50514
45_sub	37527.96
MAG_244	8.05752
MAG_273_sub	29181.906
MAG_126	222.09381
MAG_280_sub	6193.1553
MAG_226	114.18179
MAG_29	10606.791
123_sub	128.56819
170_sub	35.970516
MAG_63	1197.2416
MAG_263	244.87256
259_sub	99.04556
MAG_202	28.691135
MAG_321	1128.9136
169_sub	3.6509292
MAG_42_sub	22.188368
223_sub	32.302425
MAG_133	385.63284
31_sub	121.49605
26_sub	13230.058
73_sub	416.64658
MAG_80_sub	611.5748
270_sub	37.24868
MAG_224	7187.619
103_sub	135.25276
184_sub	4171.9727
MAG_247	7.8710556
MAG_12	31.817064
MAG_39	10.043854
53_sub	2.0646605
244_sub	2480.579
174	2075.1973
MAG_171	41.706398
138_sub	395114.4
MAG_316	29.114119
190	33095.37
MAG_117	16.944794
MAG_108	6.3808413
131_sub	7.1046495
MAG_58	43.83897
97_sub	3.1151254
MAG_134	26.375057
273_sub	561.5705
MAG_56_sub	22.73221
MAG_206	335.64777
MAG_153_sub	419.71198
MAG_116	9652.93
MAG_95	2085.697
MAG_235	150.3169
MAG_330	297.7501
MAG_341	9146.285
16_sub	17.791063
MAG_94	99.05642
MAG_210	795.4316
MAG_46	189.12291
MAG_314	24.033987
MAG_142	29.666805
MAG_141	37.118183
MAG_277	53.031395
238_sub	13.290864
MAG_328	39425.45
289	814.44415
127_sub	24161.375
MAG_327_sub	5317.9917
