Genome	1548B-4H7_S6_L004_paired_1.fastq.gz TPM
MAG_155	19.683786
MAG_193	1317.249
MAG_249	10797.554
MAG_121	10.086664
280	2.3178828
MAG_199	2.3350575
MAG_51	35793.688
MAG_18	2.6724122
2	432.98013
maxbin2.0181_sub	13983.104
MAG_284	10.8257475
MAG_278	113.50237
284_sub	9.805202
MAG_162	39.673405
44_sub	51.066715
102_sub	699.9427
MAG_53	969.71716
MAG_229	22.797733
MAG_289	6.9360676
MAG_222_sub	2.9521525
MAG_315	14.19507
4_sub	2208.3452
MAG_128	2.9495664
MAG_172	0.82804996
27	1.024389
MAG_33	13996.485
58	0.8822333
142_sub	14.116959
MAG_294	561.8456
MAG_74	18.01194
145	272.98132
MAG_114	20.350979
MAG_130	6.377428
67	4037.9575
MAG_37	3.2938607
MAG_148	2568.2036
MAG_305	19288.371
MAG_313	5005.7417
maxbin2.0025_sub	16177.79
107_sub	8653.8125
MAG_200	20.832834
MAG_319	1993.6194
158_sub	17045.64
MAG_13	5.0549154
MAG_45	52.420612
76	5.194706
MAG_307	1.8244126
MAG_236	4158.2847
245_sub	647.1656
MAG_149_sub	9974.3125
119_sub	1419.8456
MAG_334	102.15725
MAG_119	35544.13
275_sub	34250.246
MAG_140	104144.664
288_sub	755.95184
112_sub	1288.8936
MAG_164	179.21411
MAG_326	6.786523
MAG_92	6.401546
MAG_144	1.2267162
117_sub	241.27536
MAG_292	376.8763
MAG_217_sub	13866.978
52_sub	4833.5947
MAG_306	5854.0854
81_sub	1133.184
MAG_234	6.369885
MAG_332_sub	4.644512
163	9.424688
MAG_24	46.375122
243_sub	1.5011675
MAG_269_sub	202.12654
MAG_346	2615.3066
MAG_214	51.435
287_sub	11952.326
MAG_216	51.895344
MAG_300_sub	17.03095
45_sub	6831.547
MAG_244	56155.895
MAG_273_sub	51.85626
MAG_126	133810.1
MAG_280_sub	19.00623
MAG_226	4.9597974
MAG_29	1766.2136
123_sub	257.07523
170_sub	12.755276
MAG_63	230.41083
MAG_263	119.71377
259_sub	50.289867
MAG_202	11667.516
MAG_321	79.962685
169_sub	2.679826
MAG_42_sub	13.256546
223_sub	25.928438
MAG_133	101.4079
31_sub	12.692189
26_sub	144.99036
73_sub	20.002647
MAG_80_sub	91.24208
270_sub	38.41638
MAG_224	293.79187
103_sub	284.02112
184_sub	15.400039
MAG_247	6.945838
MAG_12	6.9061017
MAG_39	7.782538
53_sub	2.9780118
244_sub	2979.8716
174	15.685726
MAG_171	4.0175858
138_sub	61.272346
MAG_316	1.9900367
190	55.558247
MAG_117	3.4681346
MAG_108	1.2543514
131_sub	2.2878265
MAG_58	2.9615965
97_sub	2.2465882
MAG_134	85003.88
273_sub	5958.6978
MAG_56_sub	12.930861
MAG_206	90.63777
MAG_153_sub	273.4172
MAG_116	4390.0054
MAG_95	11.046585
MAG_235	20.499292
MAG_330	286679.2
MAG_341	6.469974
16_sub	4.2013
MAG_94	30.03638
MAG_210	183.07988
MAG_46	2902.405
MAG_314	3.577024
MAG_142	25.658228
MAG_141	3.3828459
MAG_277	7.4000626
238_sub	7.72341
MAG_328	770.787
289	49.95288
127_sub	15.639361
MAG_327_sub	8282.42
