Genome	U1547B_9H2_S14_L004_paired_1.fastq.gz TPM
MAG_155	83.97394
MAG_193	35.899574
MAG_249	1.1103424
MAG_121	1.4875377
280	12.381267
MAG_199	2.0115063
MAG_51	177.67928
MAG_18	26.898415
2	6.064065
maxbin2.0181_sub	115.91487
MAG_284	0.46269011
MAG_278	4.1694365
284_sub	0.7151565
MAG_162	4.048424
44_sub	32.291702
102_sub	13.399016
MAG_53	300264.88
MAG_229	7.284585
MAG_289	45.75889
MAG_222_sub	19.314135
MAG_315	0.56361574
4_sub	3355.1877
MAG_128	57.8665
MAG_172	59.730602
27	28.449919
MAG_33	5.7815943
58	66.27016
142_sub	29.757538
MAG_294	14.339392
MAG_74	54.988113
145	119.87577
MAG_114	0.36318693
MAG_130	39.75419
67	8.185298
MAG_37	266.60916
MAG_148	12.000725
MAG_305	22.708054
MAG_313	386.2772
maxbin2.0025_sub	197.23802
107_sub	12.365738
MAG_200	6.868367
MAG_319	85.13185
158_sub	58.295662
MAG_13	54.1669
MAG_45	642.7459
76	7.5642014
MAG_307	15.93271
MAG_236	56.893894
245_sub	66.33225
MAG_149_sub	3.6655612
119_sub	4.4668093
MAG_334	28.830278
MAG_119	2.3021643
275_sub	64.20295
MAG_140	364.41705
288_sub	44.67544
112_sub	96.86048
MAG_164	23.196022
MAG_326	15.938517
MAG_92	10.738827
MAG_144	44.197254
117_sub	12526.91
MAG_292	42.53539
MAG_217_sub	49.747692
52_sub	22.719664
MAG_306	3.886209
81_sub	1218.0343
MAG_234	15.150299
MAG_332_sub	107.29517
163	8.94921
MAG_24	2.6028392
243_sub	3.6934512
MAG_269_sub	48.36108
MAG_346	9.3258915
MAG_214	100.86112
287_sub	43.781353
MAG_216	0
MAG_300_sub	1.9369535
45_sub	137.35725
MAG_244	2.3451807
MAG_273_sub	1.0080054
MAG_126	91.395706
MAG_280_sub	0.85785717
MAG_226	16.27071
MAG_29	649330.6
123_sub	15.52796
170_sub	18.505901
MAG_63	17.083883
MAG_263	29.68775
259_sub	33.316437
MAG_202	877.4448
MAG_321	46.68321
169_sub	2.3202603
MAG_42_sub	20.636438
223_sub	1.2830667
MAG_133	72.8684
31_sub	34.989727
26_sub	55.31432
73_sub	1.2583196
MAG_80_sub	5.6829877
270_sub	179.8893
MAG_224	57.658936
103_sub	28.726042
184_sub	1.9872411
MAG_247	65.41419
MAG_12	387.96973
MAG_39	146.66238
53_sub	4.763363
244_sub	1082.9667
174	12.910013
MAG_171	26.236502
138_sub	19.245771
MAG_316	53.228245
190	1.5490501
MAG_117	15.417496
MAG_108	101.80421
131_sub	0.959478
MAG_58	28.36009
97_sub	27.783457
MAG_134	0.54799074
273_sub	2053.319
MAG_56_sub	2.0221348
MAG_206	26.9343
MAG_153_sub	21.678923
MAG_116	73.93944
MAG_95	1.8531041
MAG_235	24.959286
MAG_330	12173.248
MAG_341	5.28014
16_sub	8.969974
MAG_94	164.33963
MAG_210	75.05798
MAG_46	10125.299
MAG_314	160.78857
MAG_142	23.010199
MAG_141	229.07477
MAG_277	36.44586
238_sub	179.23941
MAG_328	7.607086
289	6.525851
127_sub	15.978481
MAG_327_sub	30.710693
