Genome	U1547B_2H2_S12_L004_paired_1.fastq.gz TPM
MAG_155	3969.1892
MAG_193	21243.432
MAG_249	152.25829
MAG_121	1415.9108
280	6003.534
MAG_199	1545.8912
MAG_51	669.2187
MAG_18	676.22675
2	1444.4789
maxbin2.0181_sub	7771.9697
MAG_284	985.51044
MAG_278	3774.975
284_sub	5471.785
MAG_162	8485.631
44_sub	9314.524
102_sub	18667.693
MAG_53	171.56024
MAG_229	1151.8955
MAG_289	7432.3857
MAG_222_sub	6993.439
MAG_315	10211.854
4_sub	21134.797
MAG_128	7145.6416
MAG_172	2550.204
27	341.1839
MAG_33	9103.206
58	6585.1494
142_sub	69062.59
MAG_294	10690.308
MAG_74	9667.028
145	288.90457
MAG_114	843.1997
MAG_130	3260.1868
67	1024.7975
MAG_37	4.5795445
MAG_148	230.26695
MAG_305	65.30355
MAG_313	1720.9576
maxbin2.0025_sub	8112.9175
107_sub	984.79816
MAG_200	4191.0825
MAG_319	8821.733
158_sub	2551.9727
MAG_13	893.92395
MAG_45	49.68274
76	2983.7375
MAG_307	5.032371
MAG_236	10901.316
245_sub	5695.7637
MAG_149_sub	379.31976
119_sub	2175.7112
MAG_334	13813.495
MAG_119	39.66357
275_sub	93.42471
MAG_140	596.5956
288_sub	4456.925
112_sub	476.59122
MAG_164	6925.8066
MAG_326	15017.741
MAG_92	1984.8058
MAG_144	3596.2336
117_sub	80.209236
MAG_292	221.88696
MAG_217_sub	1550.5046
52_sub	1882.4731
MAG_306	12591.937
81_sub	27.305567
MAG_234	10594.881
MAG_332_sub	601.6341
163	140.5489
MAG_24	4393.1714
243_sub	233.4027
MAG_269_sub	13112.698
MAG_346	32884.953
MAG_214	21433.336
287_sub	18554.314
MAG_216	669.6474
MAG_300_sub	4836.6387
45_sub	50449.59
MAG_244	12.566665
MAG_273_sub	92.61073
MAG_126	82.22904
MAG_280_sub	587.87634
MAG_226	3893.0195
MAG_29	60.230316
123_sub	9156.383
170_sub	832.67114
MAG_63	4051.0735
MAG_263	9630.943
259_sub	5371.399
MAG_202	14.996701
MAG_321	2518.8542
169_sub	1581.9845
MAG_42_sub	2841.8464
223_sub	7364.5806
MAG_133	9081.472
31_sub	2696.9592
26_sub	9308.144
73_sub	990.06085
MAG_80_sub	1001.29205
270_sub	1221.0385
MAG_224	18739.836
103_sub	3038.456
184_sub	133.31773
MAG_247	3175.751
MAG_12	13727.995
MAG_39	1647.5454
53_sub	3244.7354
244_sub	736.1754
174	8074.6636
MAG_171	6424.515
138_sub	794.5176
MAG_316	6524.1494
190	829.71954
MAG_117	3256.236
MAG_108	1911.486
131_sub	13520.279
MAG_58	47418.004
97_sub	1641.9143
MAG_134	96.82067
273_sub	199.09538
MAG_56_sub	9893.822
MAG_206	2457.0898
MAG_153_sub	358.04303
MAG_116	7654.6807
MAG_95	54.73165
MAG_235	2020.5996
MAG_330	62.949265
MAG_341	5.5696206
16_sub	5003.4985
MAG_94	24254.1
MAG_210	19600.58
MAG_46	248.4208
MAG_314	20505.248
MAG_142	42497.28
MAG_141	87634.89
MAG_277	26197.69
238_sub	1815.1965
MAG_328	7925.95
289	1667.4026
127_sub	1085.1573
MAG_327_sub	1250.54
