Genome	1548B-8H5_S7_L004_paired_1.fastq.gz Relative Abundance (%)
unmapped	10.312641
MAG_155	0.0000027691206
MAG_193	0.0000021498497
MAG_249	0.0000034593677
MAG_121	0.000009580599
280	0.000002302666
MAG_199	0.0000026646426
MAG_51	0.00058117957
MAG_18	0
2	0
maxbin2.0181_sub	0.001257591
MAG_284	0.0000039569222
MAG_278	0
284_sub	0.000006132924
MAG_162	0.0000030151152
44_sub	0.000043436474
102_sub	0.0000037740033
MAG_53	0.6521626
MAG_229	0.000035791498
MAG_289	0.0000037108628
MAG_222_sub	0.000008792212
MAG_315	0
4_sub	0.021299748
MAG_128	0.000009456731
MAG_172	0.0000031037866
27	0.00003857659
MAG_33	0.00012493454
58	0.0000015647571
142_sub	0.00012281688
MAG_294	0.00007374276
MAG_74	0
145	0.00012237272
MAG_114	0.0000028995785
MAG_130	0.00039685555
67	0.0019063754
MAG_37	0.013394231
MAG_148	0
MAG_305	0.00014227649
MAG_313	0.00069495384
maxbin2.0025_sub	0.0022136879
107_sub	0.000003952943
MAG_200	0.000078342375
MAG_319	0
158_sub	0.0000014016623
MAG_13	0.000014689538
MAG_45	0.05261963
76	0.000018737828
MAG_307	0.002343249
MAG_236	0.00008436262
245_sub	0.0003800427
MAG_149_sub	0.0000053752206
119_sub	0.000027172033
MAG_334	0.001562717
MAG_119	0.000016837188
275_sub	0.00004299812
MAG_140	0.000915303
288_sub	0.000006851352
112_sub	0.00000406481
MAG_164	0.000008067196
MAG_326	0.0000050653316
MAG_92	0.000004972513
MAG_144	0.00012964486
117_sub	0.68495923
MAG_292	0.00002499066
MAG_217_sub	0.000006136862
52_sub	0.000012661692
MAG_306	0
81_sub	0.000027432527
MAG_234	0.00013074077
MAG_332_sub	0.00000083391615
163	0.000014812967
MAG_24	0.000004643819
243_sub	0.000006179918
MAG_269_sub	0
MAG_346	0.0000423113
MAG_214	0.0000038299754
287_sub	0.0000030674832
MAG_216	0.00000395223
MAG_300_sub	0.000003892356
45_sub	0.009253981
MAG_244	0.0000089157675
MAG_273_sub	0
MAG_126	0.00095857045
MAG_280_sub	0.0000055369646
MAG_226	0.0000072361313
MAG_29	0.511788
123_sub	0.00001709446
170_sub	0.000011274751
MAG_63	0.000029356272
MAG_263	0.00026752427
259_sub	0.000005379107
MAG_202	5.0051284
MAG_321	0
169_sub	0.000008669921
MAG_42_sub	0.0000026248374
223_sub	0.0000032473474
MAG_133	0.000023141713
31_sub	0.0000024170206
26_sub	0.00035417257
73_sub	0.000001751599
MAG_80_sub	0.0000031047518
270_sub	0.0000019306647
MAG_224	0
103_sub	0.00030276412
184_sub	0.000018671579
MAG_247	0.000026587464
MAG_12	0.00038588364
MAG_39	0.000029819379
53_sub	0.000017038017
244_sub	0.0021090908
174	0.00000068848095
MAG_171	0.0011215518
138_sub	0.00013409446
MAG_316	0
190	0.000013585508
MAG_117	0.000004412604
MAG_108	0.0004907154
131_sub	0.0000050762774
MAG_58	0.000018079958
97_sub	0.00015046663
MAG_134	0.0005596981
273_sub	0.00089987635
MAG_56_sub	0.00008067159
MAG_206	0.000008698683
MAG_153_sub	0.000012291538
MAG_116	0.000008077032
MAG_95	0.000007588428
MAG_235	0.0000017146677
MAG_330	82.701454
MAG_341	0.0011489188
16_sub	0.00000320489
MAG_94	0.0010506181
MAG_210	0.0036864278
MAG_46	0.0001808694
MAG_314	0.00046446946
MAG_142	0.00016679888
MAG_141	0.00442055
MAG_277	0.00016241669
238_sub	0.0016313248
MAG_328	0.00012519596
289	0.00032603924
127_sub	0.000034890385
MAG_327_sub	0.0000031641769
