Genome	1549B-3H2_S8_L004_paired_1.fastq.gz Relative Abundance (%)
unmapped	88.29971
MAG_155	0.011837821
MAG_193	0.26789096
MAG_249	0.0011517127
MAG_121	0.04060815
280	0.0032272162
MAG_199	0.00969736
MAG_51	0.012952171
MAG_18	0.047029953
2	0.0043106843
maxbin2.0181_sub	0.072338946
MAG_284	0.0035582483
MAG_278	0.017043497
284_sub	0.023292558
MAG_162	0.02576646
44_sub	0.06656792
102_sub	0.15519772
MAG_53	0.0024375312
MAG_229	0.011592178
MAG_289	0.035819873
MAG_222_sub	0.034181163
MAG_315	0.0937663
4_sub	0.7117479
MAG_128	0.054022145
MAG_172	0.013101563
27	0.005296489
MAG_33	0.07753041
58	0.011242313
142_sub	0.6867441
MAG_294	0.070209496
MAG_74	0.07396619
145	0.0022218633
MAG_114	0.008609632
MAG_130	0.0028974488
67	0.024462905
MAG_37	0.00013291452
MAG_148	0.0011589666
MAG_305	0.0010701054
MAG_313	0.015742287
maxbin2.0025_sub	0.08113774
107_sub	0.008872193
MAG_200	0.022435864
MAG_319	0.08803643
158_sub	0.030192155
MAG_13	0.0055878693
MAG_45	0.0012570304
76	0.006971721
MAG_307	0.000011912473
MAG_236	0.006622013
245_sub	0.057655144
MAG_149_sub	0.01384884
119_sub	0.02340447
MAG_334	0.3767837
MAG_119	0.00010337543
275_sub	0.0011915836
MAG_140	0.0038829236
288_sub	0.030012304
112_sub	0.0044103265
MAG_164	0.39812985
MAG_326	0.14712156
MAG_92	0.0017687787
MAG_144	0.03849181
117_sub	0.0029977362
MAG_292	0.0035723348
MAG_217_sub	0.015420743
52_sub	0.039205473
MAG_306	0.07179574
81_sub	0.00013417543
MAG_234	0.034434684
MAG_332_sub	0.0025138343
163	0.004942088
MAG_24	0.006501063
243_sub	0.003002935
MAG_269_sub	0.03439494
MAG_346	0.33698198
MAG_214	0.20885155
287_sub	0.15739615
MAG_216	0.003069591
MAG_300_sub	0.037743267
45_sub	0.5032457
MAG_244	0.00015993344
MAG_273_sub	0.0005234681
MAG_126	0.0009172085
MAG_280_sub	0.0017711235
MAG_226	0.0452453
MAG_29	0.008416031
123_sub	0.08849112
170_sub	0.00708242
MAG_63	0.050532643
MAG_263	0.029381821
259_sub	0.022824038
MAG_202	0.049794585
MAG_321	0.053403027
169_sub	0.08839108
MAG_42_sub	0.013988256
223_sub	0.19921666
MAG_133	0.076506436
31_sub	0.012350665
26_sub	0.14959197
73_sub	0.0036880772
MAG_80_sub	0.008107968
270_sub	0.0013767632
MAG_224	0.20743953
103_sub	0.053249076
184_sub	0.0046646497
MAG_247	0.021853883
MAG_12	0.05548502
MAG_39	0.00355582
53_sub	0.010262262
244_sub	0.0073443623
174	0.0079646595
MAG_171	0.047877356
138_sub	0.008524369
MAG_316	0.03384604
190	0.0050072996
MAG_117	0.009282733
MAG_108	0.13379611
131_sub	0.051039424
MAG_58	0.8911151
97_sub	0.0021870392
MAG_134	0.0009183872
273_sub	0.002628402
MAG_56_sub	0.34278885
MAG_206	0.015953654
MAG_153_sub	0.0019241214
MAG_116	0.17695743
MAG_95	0.00092900544
MAG_235	0.010771118
MAG_330	1.0111148
MAG_341	0.00002176398
16_sub	0.11843045
MAG_94	0.2174233
MAG_210	0.1542129
MAG_46	0.010101866
MAG_314	0.52003235
MAG_142	0.1993634
MAG_141	0.77658314
MAG_277	0.057908803
238_sub	0.01629457
MAG_328	0.055836026
289	0.007863489
127_sub	0.010085881
MAG_327_sub	0.0113263205
