Genome	1547B_7H_3_S12_paired_1.fastq.gz Relative Abundance (%)
unmapped	71.083115
MAG_155	0.00022799325
MAG_193	0.0034472633
MAG_249	0.0000014494037
MAG_121	0.0002868729
280	0.0000011496757
MAG_199	0
MAG_51	0.13552934
MAG_18	0.000004713256
2	0.0006233918
maxbin2.0181_sub	0.05515087
MAG_284	0.00011262441
MAG_278	0.00035074443
284_sub	0.00018135748
MAG_162	0.000049917107
44_sub	0.00022098087
102_sub	0.000007676354
MAG_53	0.00012928883
MAG_229	0.0056633363
MAG_289	0.005974997
MAG_222_sub	0.004686955
MAG_315	0.0000538343
4_sub	0.006143872
MAG_128	0.00082366104
MAG_172	0.0043838443
27	0.00021856336
MAG_33	0.0023192274
58	0.000106433195
142_sub	0.00009534153
MAG_294	0.0014846368
MAG_74	0.004225847
145	0.0072264397
MAG_114	0.001854198
MAG_130	0.000015000304
67	0.00041240716
MAG_37	0.16553779
MAG_148	0.0009759434
MAG_305	0.00521032
MAG_313	0.06467066
maxbin2.0025_sub	0.05401886
107_sub	0.08407088
MAG_200	0.00046127813
MAG_319	0.001356986
158_sub	0.0064259805
MAG_13	0.0008824926
MAG_45	2.6598618
76	0.0006104534
MAG_307	0.3229261
MAG_236	0.00060337456
245_sub	0.000594003
MAG_149_sub	0.00033140133
119_sub	0.00005399317
MAG_334	0.0022065507
MAG_119	0.00013643029
275_sub	0.0031460712
MAG_140	0.46536496
288_sub	0.000003736239
112_sub	0.015766751
MAG_164	0.000045744207
MAG_326	0.0000018430236
MAG_92	0.00006973841
MAG_144	0.0018164957
117_sub	17.731035
MAG_292	0.0024547174
MAG_217_sub	0.016717218
52_sub	0.00041149382
MAG_306	0.0026858717
81_sub	0.10664093
MAG_234	0.000051999777
MAG_332_sub	0.0071632005
163	0.000028967333
MAG_24	0.000012935163
243_sub	0.000032016826
MAG_269_sub	0.006240977
MAG_346	0.014310808
MAG_214	0.00046456736
287_sub	0.03852399
MAG_216	0.000100599194
MAG_300_sub	0.00001843139
45_sub	0.007146037
MAG_244	0.0016439505
MAG_273_sub	0.000006197044
MAG_126	0.0007825901
MAG_280_sub	0.000047299945
MAG_226	0.0015561471
MAG_29	0.6237167
123_sub	0.00070277427
170_sub	0.0001883748
MAG_63	0.00036660518
MAG_263	0.0016393545
259_sub	0.0010999859
MAG_202	0.0051114447
MAG_321	0.000047593137
169_sub	0.000015679934
MAG_42_sub	0.00017390825
223_sub	0.0004192709
MAG_133	0.00035218822
31_sub	0.000905691
26_sub	0.001060037
73_sub	0.000020799811
MAG_80_sub	0.00039920112
270_sub	0.0002481745
MAG_224	0.008614741
103_sub	0.00044442172
184_sub	0.00012167409
MAG_247	0.0014410367
MAG_12	0.014255012
MAG_39	0.0060917237
53_sub	0.00048584226
244_sub	0.055983163
174	0.00017266569
MAG_171	0.010497347
138_sub	0.002064393
MAG_316	0.0067753354
190	0.00002707105
MAG_117	0.000009426954
MAG_108	0.0012352342
131_sub	0.0000649929
MAG_58	0.00027839033
97_sub	0.00023151867
MAG_134	0.035768244
273_sub	2.2313
MAG_56_sub	0.000053367996
MAG_206	0.0027038956
MAG_153_sub	0.0017104646
MAG_116	0.0120368935
MAG_95	0.00002111015
MAG_235	0.000012787018
MAG_330	0.06527706
MAG_341	1.7420841
16_sub	0.00011205393
MAG_94	0.004260323
MAG_210	0.0012479792
MAG_46	1.9926536
MAG_314	0.009817871
MAG_142	0.0000912635
MAG_141	0.006477057
MAG_277	0.000013772885
238_sub	0.0035489057
MAG_328	0.0031471713
289	0.0002379096
127_sub	0.00006414408
MAG_327_sub	0.021742977
