Genome	U1547B_5H2_S11_L004_paired_1.fastq.gz Relative Abundance (%)
unmapped	90.415726
MAG_155	0.001996541
MAG_193	0.006260026
MAG_249	0.0012598954
MAG_121	0.0004796098
280	0.00029502917
MAG_199	0.0004873297
MAG_51	0.09528035
MAG_18	0.00015656804
2	0.039792646
maxbin2.0181_sub	0.6730368
MAG_284	0.00021383748
MAG_278	0.0052202637
284_sub	0.0007240237
MAG_162	0.0007478997
44_sub	0.027502766
102_sub	0.00009709666
MAG_53	0.0069056284
MAG_229	0.0020717818
MAG_289	0.00075162464
MAG_222_sub	0.000021222106
MAG_315	0.0011246353
4_sub	0.01774414
MAG_128	0.00023741972
MAG_172	0.00034496703
27	0.0000048809666
MAG_33	0.6576813
58	0.000015151967
142_sub	0.0004501291
MAG_294	0.019857567
MAG_74	0.001219695
145	0.1424441
MAG_114	0.00013054175
MAG_130	0.0000433987
67	0.36165753
MAG_37	0.0001739691
MAG_148	0.22566412
MAG_305	0.0013319531
MAG_313	0.0582357
maxbin2.0025_sub	0.54942423
107_sub	0.12638217
MAG_200	0.00059855054
MAG_319	0.23912936
158_sub	0.05156729
MAG_13	0.000017615112
MAG_45	0.0008892917
76	0.06385931
MAG_307	0.000004751634
MAG_236	0.048054595
245_sub	0.010898691
MAG_149_sub	0.0017562438
119_sub	0.00029900012
MAG_334	0.00845311
MAG_119	0.00021179351
275_sub	0.010988554
MAG_140	0.014096083
288_sub	0.0005259988
112_sub	0.07765393
MAG_164	0.0056970273
MAG_326	0.29627308
MAG_92	0.00001964624
MAG_144	0.0000498361
117_sub	0.009650587
MAG_292	0.011203565
MAG_217_sub	0.17003267
52_sub	0.032363996
MAG_306	1.0222588
81_sub	0.066628665
MAG_234	0.000046487323
MAG_332_sub	0.000079271274
163	0.00018203715
MAG_24	0.0024645836
243_sub	0.0000065916433
MAG_269_sub	0.0040582954
MAG_346	0.7039479
MAG_214	0.00012975094
287_sub	1.2723842
MAG_216	0.0030049903
MAG_300_sub	0.00026902935
45_sub	0.6785141
MAG_244	0.00036538692
MAG_273_sub	0.0019800852
MAG_126	0.0026768236
MAG_280_sub	0.00044037728
MAG_226	0.000024663417
MAG_29	0.03271144
123_sub	0.005458686
170_sub	0.00022405187
MAG_63	0.0044061225
MAG_263	0.0014629121
259_sub	0.00094779505
MAG_202	0.0015399086
MAG_321	0.007594963
169_sub	0.000005871584
MAG_42_sub	0.0005094921
223_sub	0.00009633462
MAG_133	0.005066384
31_sub	0.000007889349
26_sub	0.00013815559
73_sub	0.0004443799
MAG_80_sub	0.005436263
270_sub	0.015581768
MAG_224	0.06980434
103_sub	0.0049320306
184_sub	0.000057677116
MAG_247	0.000055894536
MAG_12	0.0004287119
MAG_39	0.000110272325
53_sub	0.00003089919
244_sub	0.08471652
174	0.00030673327
MAG_171	0.00012133966
138_sub	0.00056410604
MAG_316	0.0003159135
190	0.0018403523
MAG_117	0.0003190629
MAG_108	0.000090866815
131_sub	0.000011761739
MAG_58	0.00011062072
97_sub	0.000009521205
MAG_134	0.0011673671
273_sub	0.031877685
MAG_56_sub	0.00017365972
MAG_206	0.0018161947
MAG_153_sub	0.0066441856
MAG_116	0.077855565
MAG_95	0.0001304879
MAG_235	0.00040061623
MAG_330	0.023665523
MAG_341	0.0000072804714
16_sub	0.00007005197
MAG_94	0.003784641
MAG_210	0.09376535
MAG_46	0.01724751
MAG_314	0.00035322894
MAG_142	0.0009152614
MAG_141	0.00040058527
MAG_277	0.00018588945
238_sub	0.00022977867
MAG_328	0.2235937
289	0.009502616
127_sub	0.010387382
MAG_327_sub	0.99341047
